headline,field,region,year,sentiment
"Buying among directors up, selling remains low",Aquaculture,Singapore,2010,0
Fisheries in a flap,Aquaculture,South Africa,2010,0
Marine farms a risk for boaties,Aquaculture,New Zealand,2010,-1
"200,000 fish in farms off Pasir Ris dead; Plankton bloom causes losses reaching hundreds of thousands of dollars",Aquaculture,Singapore,2010,-1
"Cost-effective, eco-friendly feed for marine farming",Aquaculture,Malaysia,2009,1
A quiet session ahead of year-end holidays,Aquaculture,Singapore,2009,0
"Moving of government furniture all but complete; New departments, others split",Aquaculture,South Africa,2009,0
More S'pore farmed fish on menu; Republic's largest commercial fish farm a sign of things to come,Aquaculture,Singapore,2009,1
Bangladesh:Oceans would be able to feed growing world population in future,Aquaculture,Pakistan,2009,1
UNCW to pay more for facility,Aquaculture,United States,2009,0
Barr wins bid to build GBP11m fish study centre in Aberdeen,Aquaculture,Scotland,2009,0
Injured turtle released back into the wild,Aquaculture,Cyprus,2009,1
Heat is on for school project,Aquaculture,Australia,2009,0
Wanted: tough outdoor types up to challenge of extreme fish farming Staff will live offshore on 'iceberg' barges,Aquaculture,Scotland,2009,0
Borneo Aqua Harvest will continue to uptrend,Aquaculture,Malaysia,2009,1
Family split threatens success of abalone farm,Aquaculture,South Africa,2009,0
School challenge - ABC to PHD: Advertising feature,Aquaculture,Australia,2009,0
Youth In Print Experiments with science,Aquaculture,Australia,2009,0
Prawn secrets to be probed,Aquaculture,Australia,2009,-1
Co-op gives local fish stocks a boost; Five fish farms here link up and 10 others keen to join cooperative,Aquaculture,Singapore,2009,1
Cambodia to get over 33m developmental aid from Japan,Aquaculture,Cambodia,2009,1
"Director, institutional shareholder activity flat",Aquaculture,Singapore,2009,0
Evidence of fish farm risks to salmon mounts,Aquaculture,Canada,2009,-1
Mississippi lawmakers approve funding,Aquaculture,United States,2009,1
Award for Loch Roag system,Aquaculture,Scotland,2009,0
"Flat trading by directors; Buyback, shareholder activity also flat, but the week sees several significant filings by institutional shareholders, reports ROBERT HALILI",Aquaculture,Singapore,2009,0
Shetland success at annual aquaculture industry accolades,Aquaculture,Scotland,2009,1
Developer adamant to progress Trinity Wharf plan,Aquaculture,Ireland,2009,0
Farmers hail the raw prawn,Aquaculture,Australia,2009,1
Plague of 'jackets,Aquaculture,Australia,2009,-1
Big V for Vino at Sydney show,Aquaculture,Australia,2009,0
open season,Aquaculture,Australia,2009,0
Major marine scientific expedition off Sabah,Aquaculture,Australia,2009,0
Sea's fruits are from the farm,Aquaculture,Australia,2009,1
M&F shows signs of catching governance bug,Aquaculture,South Africa,2009,-1
"Lawmakers hear about aquaculture; UNCW officials, fish farmers talk to new committee in Raleigh",Aquaculture,United States,2009,0
Prawn farmer in line for show's major award,Aquaculture,Australia,2009,1
Easter prawns priced too high - Seafood chief says shops not passing on savings,Aquaculture,Australia,2009,-1
Abandoned turtle rescued,Aquaculture,Cyprus,2009,1
Fund manager may inject US $15m into Oceanus,Aquaculture,Singapore,2009,1
Va. agricultural exports soar 27 percent in 2008; The value of the state's crops rises to $2.22 billion as variety pays dividends,Aquaculture,United States,2009,0
Treating wild and farmed salmon equally,Aquaculture,Canada,2009,1
Huon tempts your appetite,Aquaculture,Australia,2009,1
Joint resource dev't pushed,Aquaculture,Philippines,2009,1
Minister unscrupulous and callous - perlemoen fishers,Aquaculture,South Africa,2009,-1
'government fails to deliver',Aquaculture,South Africa,2009,-1
Yellowtail ranching project to help fishermen could miss boat,Aquaculture,South Africa,2009,-1
"£300,000 expansion plans",Aquaculture,United Kingdom,2009,1
Fishermen hope for Gregg s help at Commerce post,Aquaculture,United States,2009,0
Seller thought zoo could handle cow nose rays; 'We assumed there was a level of expertise',Aquaculture,Canada,2009,0
Gulf No Place For Fish Farms,Aquaculture,United States,2009,-1
FISHING for FUNDS; FISH HATCHERY PLAN: Bid for stimulus cash could help Mote Marine grow,Aquaculture,United States,2009,1
EW plan gives aqua-farmers their chances,Aquaculture,New Zealand,2008,1
Johor to produce organic food,Aquaculture,Malaysia,2008,0
Abalone dilemma,Aquaculture,South Africa,2008,-1
"Big Splash; Some city-bred Singapore entrepreneurs have fallen hook , line and sinker for the simple life in kelongs",Aquaculture,Singapore,2008,0
B.C.'s salmon farmers given a free ride by our provincial 'regulators',Aquaculture,Canada,2008,-1
R.I. Tree Council to host Beijing university professor,Aquaculture,United States,2008,0
GOLD COAST HONOURS 2008 All our finalists,Aquaculture,Australia,2008,0
GOLD COAST HONOURS NOMINEES,Aquaculture,Australia,2008,0
Prawns sweeter than sugarcane,Aquaculture,Australia,2008,1
Special panel studying nursing shortage in R.I.,Aquaculture,United States,2008,0
"Aquaculture facilities get funds to expand; Beals, Franklin sites of research centers",Aquaculture,United States,2008,1
Anglers condemn debris left behind by fish farms giant Marine Harvest,Aquaculture,Scotland,2008,-1
Tiger prawns earn stripes,Aquaculture,Australia,2008,1
From the kelong to your table - the cobia; Premium fish used in yusheng now farmed here as part of AVA's project to cut reliance on imports,Aquaculture,Singapore,2008,1
Affordable skin-on fillets that'll stand up to grilling,Aquaculture,United States,2008,1
Fish farms offer hope of cheap easy catch,Aquaculture,Australia,2008,1
Revolutionary Bio-Energy From Algae,Aquaculture,Korea,2008,1
Pressure groups say poor are getting a raw deal from government's abalone strategy,Aquaculture,South Africa,2008,-1
Climate change to impact on fisheries,Aquaculture,Scotland,2008,-1
Oceanus expansion plans may lead to dividend payouts,Aquaculture,Singapore,2008,1
Fish escape prompts new calls for change; Critics contend only closed-containment will repair problem,Aquaculture,Canada,2008,-1
Joy: Ben aims to do swimmingly in dream job,Aquaculture,United Kingdom,2008,0
Marine college student lands dream job with resort aquarium; A cornwall College student has landed his dream job - before completing his own degree.,Aquaculture,United Kingdom,2008,0
Environmental program open to public,Aquaculture,United States,2008,0
Oceanus makes Catalist debut today,Aquaculture,Singapore,2008,0
SEAFOOD DEAL $100m U.S. export bonanza Eyre abalone coup,Aquaculture,Australia,2008,1
Post-war pact to the rescue of coastguard,Aquaculture,Ireland,2008,0
Luncheon appealing,Aquaculture,Australia,2008,0
Lunch draws crowd,Aquaculture,Australia,2008,0
Career Beacon.com job listings,Aquaculture,Canada,2008,0
Marine farm plans sunk,Aquaculture,New Zealand,2008,-1
"Group critical of salmon farming impact on Bay; Conservation group say more stringent regulations, policies needed to protect Bay of Fundy",Aquaculture,Canada,2008,-1
Tagging the big fish,Aquaculture,Australia,2008,0
"Q&A with Dr. Martha Dunagin Saunders, U of Southern Mississippi president",Aquaculture,United States,2008,0
Prawn lunch,Aquaculture,Australia,2008,0
Under microscope,Aquaculture,Australia,2008,0
Black fishing investors face stormy waters,Aquaculture,South Africa,2008,-1
Adventurer found success on land and sea,Aquaculture,United States,2008,1
Fishing,Aquaculture,South Africa,2008,0
"Danger signal - alien invader threatens salmon, trout stocks",Aquaculture,United Kingdom,2007,-1
UNLIKELY ALLIES TEAM UP AGAINST FISH FARMING AT HEARING,Aquaculture,United States,2007,-1
UNLIKELY ALLIES OPPOSE GULF FISH FARMING,Aquaculture,United States,2007,-1
"Bright sparks lock onto 'Genera onto 'Generation Y'; Two new universities are set to feel the benefit of a scheme to harness the talents of bright young things in business, says Stephen Naysmith",Aquaculture,Scotland,2007,0
Support for marine management plan,Aquaculture,New Zealand,2007,1
Philippines poised to revisit expired fishing pacts with Indonesia,Aquaculture,Philippines,2007,0
Sea projects to soften ban on abalone,Aquaculture,South Africa,2007,1
Government to inject R100m into marine fish farms,Aquaculture,South Africa,2007,1
Ban postponed - but abalone court bid set to go ahead,Aquaculture,South Africa,2007,-1
'real issue is perlemoen poachers',Aquaculture,South Africa,2007,-1
A chance to mussel in on aquaculture; Shellfish farming company's empowerment project offers nine fishermen a fresh start,Aquaculture,South Africa,2007,1
Fishing pacts with Pacific nations sought,Aquaculture,Philippines,2007,0
Fingerlings to finger-licking good,Aquaculture,Singapore,2007,1
"S'pore's very own super sea bass; Hatched in AVA's research tanks, the fast-growing, hardy fry were fattened on an offshore farm in Riau",Aquaculture,Singapore,2007,1
"FAO SUPPORTS REHABILITATION OF AGRICULTURAL, LIVESTOCK, FISHERIES AND LIVELIHOODS OF \ CYCLONE AFFECTED COMMUNITIES OF BALOCHISTAN",Aquaculture,Pakistan,2007,1
B.c. Salmon industry in rough water; Agriculture; Skilled workers cut bait rather than face the 'politics',Aquaculture,Australia,2007,-1
Show gets bigger,Aquaculture,Australia,2007,0
Hotel's student contract,Aquaculture,United Kingdom,2007,0
Highlights of Northern Corridor Economic Region (NCER),Aquaculture,Malaysia,2007,0
Popular course,Aquaculture,United Kingdom,2007,0
Imported raw prawns in risk to marine life,Aquaculture,Australia,2007,-1
Salt study boon for abalone,Aquaculture,Australia,2007,1
UPSHOT; Chinese economic invasion,Aquaculture,China,2007,0
Tiny freshwater creatures can grow into tasty delights far from any ocean; Raising shrimp is big business in Ohio ponds,Aquaculture,United States,2007,1
MOTE'S RACE AGAINST THE CLOCK; Rush is on to complete rebuilding of fire-damaged sturgeon facility,Aquaculture,United States,2007,0
Anti fish farm ads take aim at grocery chain,Aquaculture,Canada,2007,-1
A barefoot boy's; golden harvest,Aquaculture,Australia,2007,1
Seaweed farming points the way for food production,Aquaculture,South Africa,2007,1
Kleinschmidt honored for AquaPod project,Aquaculture,United States,2007,1
Courses on offer,Aquaculture,United Kingdom,2007,1
"Climate change threatens tiny krill, leaving Antarctic ecosystem at risk",Aquaculture,United States,2007,-1
US fishes for subsidy support,Aquaculture,South Africa,2007,0
Fish farm group will trawl for youngsters,Aquaculture,Australia,2007,0
Fishy find: Children discover unusual visitor,Aquaculture,United Kingdom,2007,0
Warm-water puffer fish found on beach,Aquaculture,United Kingdom,2007,0
Aquaculture growing dramatically here and worldwide,Aquaculture,United States,2007,1
Stop foreign poaching,Aquaculture,South Africa,2007,0
Something fishy,Aquaculture,South Africa,2007,-1
Small-scale effort to beat fishery blues,Aquaculture,South Africa,2007,0
Center to target salmon research; Genetics focus of new facility in Franklin,Aquaculture,United States,2007,0
Feast of prawns worthy of seconds,Aquaculture,Australia,2007,1
Locals protest plans for fish farm,Aquaculture,Nova Scotia,2007,-1
(Briefs),Aquaculture,United States,2007,0
"Prawns, prawns, glorious prawns",Aquaculture,Australia,2007,1
Extra long lunch to cater for demand; Prawns net a crowd,Aquaculture,Australia,2007,1
Prawns on the move,Aquaculture,Australia,2007,0
Prawn prices face rise on import blitz,Aquaculture,Australia,2007,0
World Wetlands Day; Guided tour of Okato reserve,Aquaculture,New Zealand,2007,0
Ahern announces EUR 600m fisheries plan,Aquaculture,Ireland,2007,0
Fish farm death dive 'broke all rules',Aquaculture,United Kingdom,2007,-1
Farmed fish swim to the fore; How we handle aquaculture may determine the future of the planet,Aquaculture,United States,2007,1
Far more choice than the three Rs; BACK TO SCHOOL - A Newcastle Herald Advertising Feature,Aquaculture,Australia,2007,0
IN BRIEF...,Aquaculture,Australia,2007,0
Fish farms in the ocean? Group pushes Congress to pass tough rules.,Aquaculture,United States,2007,-1
LEGAL NOTICES - 17 OF 17,Aquaculture,United States,2006,0
St John's Island,Aquaculture,Singapore,2006,0
Guyana to set up fisheries committee,Aquaculture,Guyana,2006,0
Teens stuck at sea as trip goes wrong,Aquaculture,Australia,2006,0
Wildlife learning centre,Aquaculture,United Kingdom,2006,0
5 things you didn't know about...,Aquaculture,Singapore,2006,0
Maritime opportunity,Aquaculture,Australia,2006,1
Campus' size has doubled,Aquaculture,United Kingdom,2006,0
P5-M fisheries lab to be set up in GenSan,Aquaculture,Philippines,2006,0
Shop wisely or 'go fish',Aquaculture,Australia,2006,0
College staff and students inspect new building,Aquaculture,United Kingdom,2006,0
Students get hands-on reservoir experience,Aquaculture,United Kingdom,2006,0
College presents its zoological research,Aquaculture,United Kingdom,2006,0
Fish farm educational hook for keen students,Aquaculture,Australia,2006,1
Students are hooked on harvesting fish,Aquaculture,Australia,2006,1
College welcomes new headteacher to campus,Aquaculture,United Kingdom,2006,0
SA 'aims to be one of top 10 destinations',Aquaculture,South Africa,2006,0
friday fishing,Aquaculture,Australia,2006,0
Pioneering project to help the king of fish,Aquaculture,United Kingdom,2006,1
State losing ground in bioscience jobs,Aquaculture,United States,2006,-1
Farm lands prawn solution,Aquaculture,Australia,2006,1
Namibian president urges Swedish businessmen to invest in country,Aquaculture,Namibia,2006,0
in the zone,Aquaculture,South Africa,2006,0
Lean pickings under new marine farm laws,Aquaculture,New Zealand,2006,-1
Course recruits sample life beneath the waves,Aquaculture,United Kingdom,2006,0
The fishing's fine at Northam,Aquaculture,Australia,2006,0
Funds for marine science students,Aquaculture,Australia,2006,0
Govt pulls plug on Port fish farm,Aquaculture,Australia,2006,-1
Cawthron role `exciting challenge',Aquaculture,New Zealand,2006,0
"Sea food, just; had to eat it",Aquaculture,Australia,2006,0
Malaysian firm helps turn Namibia around,Aquaculture,Malaysia,2006,1
Blueprint to beat skills shortage,Aquaculture,Australia,2006,0
Zoo gains training praise,Aquaculture,United Kingdom,2006,0
Students uncover undersea world of opportunities,Aquaculture,Canada,2006,1
Western Isles salmon firm to trial greener production,Aquaculture,Scotland,2006,1
College bids to expand with new £1.9m centre,Aquaculture,United Kingdom,2006,0
Seafood trail map,Aquaculture,New Zealand,2006,0
Plan for organic farm joint venture in Pangkor,Aquaculture,Malaysia,2006,0
LEGAL NOTICES - 3 OF 3,Aquaculture,United States,2005,0
"Scientists win $10,000 grant",Aquaculture,Australia,2005,0
Expert touts plan to boost R&D spending,Aquaculture,United States,2005,0
Claims of benefits to raising fish in sea are full of snags,Aquaculture,United States,2005,-1
Company Briefs,Aquaculture,Singapore,2005,0
Corea Heath changes hands in land transfer,Aquaculture,United States,2005,0
Red tape sinks tuna farm plan,Aquaculture,Australia,2005,-1
Tuna off the menu in Esperance,Aquaculture,Australia,2005,-1
Rising student levels spark expansion plan,Aquaculture,United Kingdom,2005,0
"HOLD THAT PROJECT;As fuel and material costs spiral upward, a winter hiatus can yield big savings for builders and clients",Aquaculture,United States,2005,-1
Oceanus in research tie-up with NUS body;MOU to further aquaculture research in Singapore,Aquaculture,Singapore,2005,1
Chinese fish-breeder casts IPO net towards Singapore;Oceanus lodges prospectus with the central bank for a mainboard listing,Aquaculture,Singapore,2005,0
Mussel farm at Eastern Bay discussed; Decision on proposal by Tenants Harbor firm delayed so flats can be studied,Aquaculture,United States,2005,0
Oak Hill pines to annex southern parcel,Aquaculture,United States,2005,0
A healthy dose of IT,Aquaculture,Australia,2005,0
GOING FOR LISTING: Borneo Aqua expanding,Aquaculture,Malaysia,2005,0
"All Silver and Smiles: Aquaculture brings hope, economic stability to remote Klemtu and its First Nations residents",Aquaculture,Canada,2005,1
"Fish farms stay under microscope: Industry has its share of supporters and detractors. In B.C., 4,000 workers earn a living in aquaculture.",Aquaculture,Canada,2005,-1
THINK TANK,Aquaculture,Australia,2005,0
Confidence in aquaculture,Aquaculture,Australia,2005,1
Breeder plans 10 fish farms off Ubin;Swee Chioh Aquaculture's move to yield 500 tonnes of fish annually for local market,Aquaculture,Singapore,2005,1
Judging who's the big cheese,Aquaculture,Australia,2005,0
New shellfish land will need additional rules,Aquaculture,Canada,2005,-1
Fisheries college jobs to go after backing reduced,Aquaculture,Scotland,2005,0
Sustainable seafood; Marine life ECO,Aquaculture,Australia,2004,0
Research project aims to dispel fears over Scottish farmed salmon,Aquaculture,Scotland,2004,1
"Business: Call to tap into lucrative fish-farm industry;Use aquaculture know-how to expand into the region to meet rising global demand for fish, says minister",Aquaculture,Singapore,2004,1
"Holy flounder; Tank-raised halibut, ugly yet valuable, could pad Mainer's pocketbooks",Aquaculture,United States,2004,1
"$30m fund to take inventions to market;Entrepreneurial arm of NUS aims to help 100 promising start-ups in the next three to five years, including foreign ones hatched here",Aquaculture,Singapore,2004,1
Small fish big bucks;Fish farming goes from sunset industry to knowledge-driven sector,Aquaculture,Singapore,2004,1
Get bitten by research bug,Aquaculture,Malaysia,2004,0
Tech@Work: All the right connections,Aquaculture,Singapore,2004,0
Making its mark at home and abroad,Aquaculture,Malaysia,2004,0
Helping to re-stock the camel,Aquaculture,United Kingdom,2004,0
"AVA-bred fish to go on sale in stores here;The first batch of pompano is from deep net-cage farms, which yield more than other coastal fish farms",Aquaculture,Singapore,2004,1
Curtin broadens its appeal,Aquaculture,Australia,2004,0
Oyster paradise,Aquaculture,Australia,2004,1
"Singapore global business fair will be annual affair;Spurred by success of inaugural Global Entrepolis last year, EDB hopes to see 25,000 participants at this year's event",Aquaculture,Singapore,2004,0
Scientists show invasion of the sea creatures;A survey reveals 18 non-native species in just three places on Casco Bay.,Aquaculture,United States,2004,-1
Camel gets :2m clean-up,Aquaculture,United Kingdom,2004,0
:2m clean-up of river after lobster deaths,Aquaculture,United Kingdom,2004,-1
Ocean report has long reach,Aquaculture,United States,2004,0
UMS courses relevant to nation's need,Aquaculture,Malaysia,2004,0
S'pore should be angling for more bucks in fish trade,Aquaculture,Singapore,2004,0
UMS makes waves globally,Aquaculture,Malaysia,2004,0
Overseas investors snap up fish farm after failure to make NSX,Aquaculture,Australia,2003,1
Across The West,Aquaculture,United Kingdom,2003,0
University Campus Opens,Aquaculture,United Kingdom,2003,0
Research plays important role at KUSTEM,Aquaculture,Malaysia,2003,0
"UCC appoints new dean of math, tech",Aquaculture,Canada,2003,0
Row Flares Over Fish Unit'S Future,Aquaculture,Scotland,2003,-1
Canadian firms hired to analyze aquaculture,Aquaculture,United States,2003,0
Plenty of fish in the sea? Think again...;Fishermen and consumers are feeling the pinch as fish stocks are depleted through over-fishing,Aquaculture,Singapore,2003,0
Only nine but UMS forges ahead,Aquaculture,Malaysia,2003,0
Hopes Rise For Future Of Ardtoe Marine Research Unit,Aquaculture,Scotland,2003,0
Schools' learning curve - Biggest curriculum shake-up for 30 years,Aquaculture,Australia,2003,0
New marine aquaculture goes after bigger fish,Aquaculture,Singapore,2003,1
"Equally delicious, steamed or fried",Aquaculture,Singapore,2003,1
Small fry? Think again...it's big plan to feed S'poreans;High-tech breeding facility on St John's Island aims to produce almost half the fish people eat here,Aquaculture,Singapore,2003,1
Healthy oceans Pew report signals need for further remedies,Aquaculture,United States,2003,-1
TOPICS TODAY,Aquaculture,Australia,2003,0
"Port Ed hatchery closes its doors: q Marine Harvest Canada mothballs state-of-art $8 million facility; blames feds, misinformation",Aquaculture,Canada,2003,-1
Government grants,Aquaculture,Australia,2003,0
Blair Is Dragged Into Ardtoe Row,Aquaculture,Scotland,2003,0
Fish farming for Bay sites,Aquaculture,Australia,2003,0
Investors lured by fish farm shares,Aquaculture,Australia,2003,1
"Ubin prawns going places;Farm expanding to become fish hatchery, as well as producing new dried prawn snack using small prawns no one wants",Aquaculture,Singapore,2003,1
Better chance for say,Aquaculture,Australia,2002,0
Plan for abalone farm put on show,Aquaculture,Australia,2002,1
UE unit clinches $200m PUB contract,Aquaculture,Singapore,2002,0
"Raise aquaculture production, marine scientists urged",Aquaculture,Malaysia,2002,1
Fish farm in $2.5m listing bid,Aquaculture,Australia,2002,0
Breaking away from the herd,Aquaculture,Australia,2002,0
Ofex wants to challenge ASX with trans-Tasman market; Investing,Aquaculture,Australia,2002,0
Regional firms in the limelight; Hunter Region Export Awards 2002 A Newcastle Herald Advertising Feature,Aquaculture,Australia,2002,0
WHAT A WHOPPER!;ANGLESEY NETS POUNDS 19M EURO FISH FARM DEAL,Aquaculture,Wales,2002,1
In step with the community,Aquaculture,Malaysia,2002,0
Transforming the image - CENTRAL COAST: MOVING FORWARD,Aquaculture,Australia,2002,0
Taking aquaculture and marine science to new heights,Aquaculture,Malaysia,2002,1
Primelife chief hits back over `foul play'; MANAGEMENT,Aquaculture,Australia,2001,0
Something's fishy on this farm,Aquaculture,Japan,2001,-1
Marine research centre floated,Aquaculture,Canada,2001,0
Farmers hatch a new plan that may well grow on us; FISHING,Aquaculture,Australia,2001,1
Farm-fresh fish on menu;Banker becomes snapper breeder,Aquaculture,Australia,2001,1
Fortune begins to favour the salmon;The reel thing,Aquaculture,Scotland,2001,1
Two schools of thought on fish farm go-ahead,Aquaculture,Australia,2001,0
Plan for deep-sea fish farming hits snag,Aquaculture,Singapore,2001,-1
Business People,Aquaculture,United States,2001,0
Fears spark crusade to 'save' Lough Swilly;New group will battle fish farming plans,Aquaculture,United Kingdom,2001,-1
Anglers bite at fish park bid,Aquaculture,Australia,2001,-1
Agency to tackle fish-farm waste,Aquaculture,Scotland,2001,-1
Primed for prawns,Aquaculture,Australia,2000,1
Offshore investment hooks ex-banker,Aquaculture,Australia,2000,1
Seafood body slams marine park proposal; SEAFOOD,Aquaculture,Australia,2000,-1
AVA -- that's PPD's name as a stat board,Aquaculture,Singapore,2000,0
Tassie divers' safety splash,Aquaculture,Australia,2000,0
Justice and democracy will disappear,Aquaculture,United States,2000,0
WHAT'S NEW; VICTORIA,Aquaculture,Australia,1999,0
Leisure and tourism will become more important in the economy of the South West,Aquaculture,United Kingdom,1999,0
"Move to boost fish, vegetable supply",Aquaculture,Singapore,1999,1
Asia claws back onto the local economic agenda,Aquaculture,Australia,1999,0
A project going swimmingly / THE HUNTER REGION,Aquaculture,Australia,1999,1
Council nets fish farms,Aquaculture,Australia,1999,0
"Sorry, tuna is calling the tune",Aquaculture,Australia,1999,0
A city fights back,Aquaculture,Australia,1999,-1
Sarawak optimistic about robust economic prospects,Aquaculture,Malaysia,1999,1
"Barbed wire, fences go up at St John's",Aquaculture,Singapore,1999,0
Your views,Aquaculture,Canada,1999,0
A snapper of the fingerlings,Aquaculture,Australia,1999,0
St John's to have marine research centre,Aquaculture,Singapore,1999,0
Sea cages yield first commercial harvests; FISHING,Aquaculture,Australia,1998,1
POLITICS: BLAIR POISED TO MEET TRIMBLE FOR POLICY TALKS,Aquaculture,Ireland,1998,0
 Blair unveils UK-Irish body in Dublin,Aquaculture,United Kingdom,1998,0
 Blair to unveil UK-Irish forum,Aquaculture,United Kingdom,1998,0
"Industry, nature can co-exist",Aquaculture,United States,1998,1
Our tainted coast; Report pinpoints pollution and the;solution,Aquaculture,Australia,1998,-1
Fortune in flying fish,Aquaculture,Australia,1998,0
Peace Corps Worker Killed in Philippines,Aquaculture,United States,1998,0
NEWS IN BRIEF,Aquaculture,Philippines,1998,0
"Mum, can we have fish?",Aquaculture,Singapore,1998,0
Call to release secret report on aquacentreDecision to close college has been hotly disputed,Aquaculture,Scotland,1998,0
NBT continues focus on core areas,Aquaculture,Malaysia,1998,0
Fishing for complements,Aquaculture,Australia,1997,0
Norwegian study of our aquaculture potential,Aquaculture,Malaysia,1997,1
Lucas Heights,Aquaculture,Australia,1997,0
Business groups main goal of growth study,Aquaculture,Australia,1997,0
" AS AGE OF AQUACULTURE DAWNS, WE CAN LEARN FROM OTHERS' MISTAKES; VIGILANCE OVER DISEASE AND NUTRIENT POLLUTION ARE ESSENTIAL.",Aquaculture,United States,1997,0
Fiji aims for increase in visitors,Aquaculture,Australia,1997,0
Tuna farms 'threat' to KI penguins,Aquaculture,Australia,1997,-1
State inquiry says no to oyster farms,Aquaculture,Australia,1996,-1
Opportunities in global halal' market,Aquaculture,Malaysia,1996,1
Minister with a true flair for stating the blindingly obvious,Aquaculture,Ireland,1996,0
A mixture of satisfaction and fear,Aquaculture,Malaysia,1996,0
Agency turns ideas into cash for coast A million clams will make them as happy as . . .,Aquaculture,United States,1996,1
Breeding grouper on the farm,Aquaculture,Singapore,1996,1
Promoting R & D,Aquaculture,Singapore,1996,0
Mystery virus attack,Aquaculture,Singapore,1996,-1
BALLAST WATER ORGANISMS AN ENVIRONMENTAL THREAT,Aquaculture,Australia,1996,-1
IVF WHITING RESEARCH TO HELP DECLINING NUMBERS,Aquaculture,Australia,1996,0
Oysters hailed as solution to feeding Africa's hungry,Aquaculture,Canada,1996,1
Aquaculture centre officially opened,Aquaculture,Australia,1996,1
Intellectual Property India Publishes Patent Application for 'Offshore Aquaculture System' Filed by Sea Control Holdings,Aquaculture,India,2015,0
Catalina Sea Ranch project moves ahead,Aquaculture,USA,2014,1
Making mussels,Aquaculture,USA,2014,1
Capital gets Maritime Plan 2030 for sustainable development,Aquaculture,United Arab Emirates,2014,1
Who Is Conservation For?,Aquaculture,USA,2013,-1
Mussel beds planned near wind farm,Aquaculture,USA,2013,1
Seafood worker Hong Kong-bound,Aquaculture,China,2013,1
Oyster beds off Crowes Pasture hit again,Aquaculture,USA,2013,-1
Judge says Marin oyster farm must obey Coastal Commission order,Aquaculture,USA,2013,-1
Port's waters no good to explore,Aquaculture,Australia,2013,-1
New lawsuit claims state wrongly put sanctions on Drakes Bay oyster farm,Aquaculture,USA,2013,0
Point Reyes oyster farm dealt another setback,Aquaculture,USA,2013,-1
MARITIME POLICY : ATLANTIC ARC AT HEART OF NEW MACRO-REGIONAL STRATEGY,Aquaculture,Portugal,2011,0
Ireland 'suffered' over fisheries policy,Aquaculture,Ireland,2011,-1
Irish food drive serves up tasty results,Aquaculture,Ireland,2011,1
Bluefin tuna fingerlings sea trial survival rates hailed,Aquaculture,Australia,2011,1
Clean Seas buoyed by tuna trials,Aquaculture,Australia,2011,1
Tuna trial victory,Aquaculture,Australia,2011,1
"Raising tuna in a tank closer to reality, researcher says",Aquaculture,USA,2011,1
"No fish, no drill marine national park",Aquaculture,Australia,2011,-1
Humongous fish farms are industrializing our oceans,Aquaculture,USA,2011,-1
Bluefin breeding on track,Aquaculture,Australia,2011,1
Marsh likely to be gone by 2100,Aquaculture,USA,2010,-1
Maine sites considered for testing wave energy; Resolute Marine's CEO envisions its converters using the same areas as floating wind turbines.,Aquaculture,USA,2010,1
"Go slow, mussel-breeders urge speeding ferry boats",Aquaculture,Malaysia,2009,0
TIME FOR A GREEN POWER TRIP; Renewable energy technologies offer not only huge commercial opportunities but also some pretty novel science,Aquaculture,United Kingdom,2009,1
CEO plans added value for exports,Aquaculture,Australia,2009,1
Farming the ocean as we farm the land,Aquaculture,USA,2009,1
Fish farming gets OK for fed waters,Aquaculture,USA,2009,1
"Reefs get $3.3 million stimulus: Staghorn, elkhorn nurseries to boost reef restoration",Aquaculture,USA,2009,1
Rove pick doesn't negate group's work,Aquaculture,USA,2009,1
Secrets of the deep blue sea,Aquaculture,Ireland,2008,1
FISH FARMS IN GULF TOO RISKY,Aquaculture,USA,2008,-1
Exxon spill awards could be held up in court for several weeks,Aquaculture,USA,2008,-1
"100,000 sea breams to be released into sea",Aquaculture,Bahrain,2008,1
OUTDOORS NOTES,Aquaculture,USA,2008,0
Clean Seas husbandry a tuna aquaculture breakthrough - South Australia: Special Report,Aquaculture,Australia,2008,1
"Salmon Farming May Doom Wild Populations, Study Says",Aquaculture,USA,2007,-1
Marine advisory council to discuss oil spill,Aquaculture,USA,2007,-1
Maine island fall cleanups deserve praise; Adventure club meets Oct. 30,Aquaculture,USA,2007,1
Threats of fish farming,Aquaculture,USA,2007,-1
Deep-water aquaculture firm attracts vencap investment,Aquaculture,Canada,2007,1
LEGAL NOTICES,Aquaculture,USA,2007,0
U.S. is wary of ocean fish farms despite flood of foreign seafood; But experts say open-ocean aquaculture is an issue of when and how -- not if,Aquaculture,USA,2007,-1
IMPORTS FUEL PUSH FOR U.S. OCEAN FISH FARMS,Aquaculture,USA,2007,1
"A changing province; By 2050, Scott Simpson and Gordon Hamilton report, projections indicate global warming will make the British Columbia we know a vastly different place.",Aquaculture,Canada,2007,-1
Aquaculture advance hailed,Aquaculture,United Kingdom,2007,0
How many little fish does it take to grow a big fish?; Aquaculture's abundant promise must be buttressed by appropriate safeguards.,Aquaculture,USA,2007,-1
Feds eye deep-sea fish farms; Similar operations already allowed in U.S.,Aquaculture,Canada,2007,1
Ottawa interested in U.S. plan for deep-sea fish farms,Aquaculture,Canada,2007,1
Dire Forecast for the Oceans,Aquaculture,USA,2006,-1
OUTDOORS NOTES,Aquaculture,USA,2006,0
